timestamp,Level,soc,RawLevel,Voltage_mV,InstantAmperage_mA,P_mW,P_load_mW,Temperature_C,IsCharging,AppleRawMaxCapacity,DesignCapacity,CycleCount,screen_on,state,brightness_pct,cell_linkquality,gps_on,gps_avgPower_mW,activeInterval,measuredInterval,cell_down_Bps,cell_up_Bps,wifi_down_Bps,wifi_up_Bps,t_seconds
1769454834.2011058,78.0,0.78,74.09576300378919,4121,-9,37.089,37.089,24.0,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11403.373265982
1769454963.957059,78.0,0.78,74.07790417097553,4118,-35,144.13,144.13,23.29,0,2901,3254,599,0.0,0.0,,100,0,0.0,0.0,600.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11533.129219056
1769455040.3623428,78.0,0.78,74.09451535012073,4118,-36,148.248,148.248,22.79,0,2899,3254,599,0.0,0.0,,100,0,0.0,0.0,600.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11609.534502983
1769455082.9601989,78.0,0.78,74.12008281573499,4119,-11,45.309,45.309,22.5,0,2898,3254,599,0.0,0.0,,100,0,0.0,0.0,600.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11652.132359028
1769455099.975399,78.0,0.78,74.0855762594893,4115,-19,78.185,78.185,22.29,0,2898,3254,599,0.0,0.0,,100,0,0.0,0.0,600.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11669.147559166
1769455189.0431435,78.0,0.78,74.10220994475138,4118,-14,57.652,57.652,21.79,0,2896,3254,599,0.0,0.0,,100,0,0.0,0.0,600.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11758.215303898
1769455194.161372,78.0,0.78,74.10220994475138,4117,-20,82.34,82.34,21.69,0,2896,3254,599,0.0,0.0,,100,1,0.0,6.0,354.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11763.333532095
1769455381.367373,78.0,0.78,74.1444866920152,4119,-10,41.19,41.19,20.5,0,2893,3254,599,0.0,0.0,,100,1,0.0,6.0,354.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11950.539533139
1769455591.630662,78.0,0.78,74.21253028729664,4118,-54,222.372,222.372,19.5,0,2889,3254,599,0.0,0.0,,100,1,0.0,6.0,354.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,12160.802822113
1769455623.9400778,78.0,0.78,74.21253028729664,4117,-8,32.936,32.936,19.39,0,2889,3254,599,0.0,0.0,,100,1,0.0,6.0,354.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,12193.112237931
1769456032.3686118,78.0,0.78,74.31637244721357,4118,-17,70.006,70.006,18.09,0,2889,3254,599,0.0,0.0,,50,0,0.0,0.0,402.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,12601.540771962
1769456051.578402,78.0,0.78,74.31637244721357,4116,-22,90.552,90.552,18.0,0,2889,3254,599,0.0,0.0,,100,0,0.0,0.0,440.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,12620.750562191
1769456270.386152,78.0,0.78,74.3332178732248,4117,-21,86.457,86.457,17.5,0,2887,3254,599,0.0,0.0,,100,0,0.0,0.0,19.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,12839.558312178
1769456506.5338569,78.0,0.78,74.35008665511265,4117,-6,24.702,24.702,17.0,0,2885,3254,599,0.0,0.0,,100,0,0.0,0.0,19.0,0.8691011541979355,1.650192064932789,324.58986240330023,128.9677258260991,13075.706017017
